Species,SealID,Sex,Age,YearCollected,MonthCollected,DayCollected,CollectionArea,NAFO,PreyCode,Prey,PreyGenusSpecies,PreyFamily,PreySubFamily,NumberOfIndividuals,MeasuredOrEstimated,PartMeasured,OtolithErosionState (ES),PartMeasurementValue (mm),PreyLength (cm),PreyWeight (g),Comments
Pagophilus groenlandicus,63209,F,26,2017,3,,337,3LB,437,"Cod, Atlantic or Greenland",Gadus morhua or G. ogac,,,1,1,7,2,4.78,,,
Pagophilus groenlandicus,63975,U,1,2017,3,,337,3LB,9998,Empty,,,,,,,,,,,
Pagophilus groenlandicus,63786,M,31,2017,4,23,339,3KI,9998,Empty,,,,,,,,,,,
Pagophilus groenlandicus,63787,M,27,2017,4,23,339,3KI,8020,"Shrimp, Unidentified",,,,1,2,10,,,,7.2,
Pagophilus groenlandicus,63788,M,19,2017,4,22,339,3KI,9998,Empty,,,,,,,,,,,
Pagophilus groenlandicus,63789,M,25,2017,4,23,339,3KI,9998,Empty,,,,,,,,,,,
Pagophilus groenlandicus,63210,F,28,2017,4,25,339,3KI,320,"Lancetfish, Scaled",Notolepis rissoi kroyeri,,,1,1,7,1,3.79,,,
Pagophilus groenlandicus,63790,M,25,2017,4,25,339,3KI,9998,Empty,,,,,,,,,,,
Pagophilus groenlandicus,63791,M,1,2017,4,25,339,3KI,9998,Empty,,,,,,,,,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,150,"Herring, Atlantic",Clupea harengus,,,1,1,7,3,1.48,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,2,2.07,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,1,1.88,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,1,2.14,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,1,1.89,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,1,2.19,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,2,2.1,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,1,1.85,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,1,1,7,2,2.39,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,187,Capelin,Mallotus villosus,,,35,3,7,,2.06,,,average of ES 1&2; N=8
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,451,"Cod, Arctic",Boreogadus saida,,,1,1,7,2,2.67,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,451,"Cod, Arctic",Boreogadus saida,,,1,1,7,2,2.8,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,451,"Cod, Arctic",Boreogadus saida,,,1,1,7,2,2.79,,,
Pagophilus groenlandicus,63211,F,2,2017,4,25,339,3KI,451,"Cod, Arctic",Boreogadus saida,,,1,1,7,2,2.79,,,
Pagophilus groenlandicus,63062,F,NA,2017,5,14,335,3LJ,9998,Empty,,,,,,,,,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,150,"Herring, Atlantic",Clupea harengus,,,1,1,7,2,1.4,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,187,Capelin,Mallotus villosus,,,1,1,7,1,1.95,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,187,Capelin,Mallotus villosus,,,1,1,7,1,2.16,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,187,Capelin,Mallotus villosus,,,1,1,7,1,2.25,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,187,Capelin,Mallotus villosus,,,1,1,7,1,1.93,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,187,Capelin,Mallotus villosus,,,1,1,7,1,1.51,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,187,Capelin,Mallotus villosus,,,1,1,7,1,2.49,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,187,Capelin,Mallotus villosus,,,4,3,7,,2.05,,,average of ES 1; N=6
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.41,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.17,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.11,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.16,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,2,1.16,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.09,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.18,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.33,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.2,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.21,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.11,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.08,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.23,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.41,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.35,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.34,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.25,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.33,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.27,,,
Pagophilus groenlandicus,63212,F,15,2017,4,28,340,3KH,857,Snailfish,Liparis  sp.,,,1,1,7,1,1.34,,,
